,name,games,receptions,yards,yds_per_ctch,yds_per_game,yac,td,long_ctch,recs_ovr_25,100yd_gms,targets,drops,ctch_pct,fumbles,fumbles_lost,first_down_ctchs,first_down_ctchpct,season,team
256,Chad Lewis,12,8,88,11.0,7.3,26,3,21,0,0,17,3,47.1%,0,0,7,87.5%,1999,
257,Daimon Shelton,16,12,87,7.3,5.4,47,0,13,0,0,15,1,80.0%,0,0,4,33.3%,1999,JAX
258,LeShon Johnson,16,12,86,7.2,5.4,98,1,28,1,0,15,2,80.0%,0,0,4,33.3%,1999,NYG
259,Abdul Jabbar,13,17,84,4.9,6.5,80,1,21,0,0,22,3,77.3%,0,0,5,29.4%,1999,
260,Quinn Early,16,6,83,13.8,5.2,12,0,24,0,0,17,4,35.3%,0,0,4,66.7%,1999,NYJ
261,Fred Taylor,10,10,83,8.3,8.3,95,0,41,1,0,15,2,66.7%,0,0,4,40.0%,1999,JAX
262,Randy Jordan,16,8,82,10.3,5.1,75,0,30,1,0,16,4,50.0%,0,0,3,37.5%,1999,OAK
263,Alonzo Mayes,16,8,82,10.3,5.1,33,1,24,0,0,15,2,53.3%,0,0,5,62.5%,1999,CHI
264,Mitch Lyons,14,8,81,10.1,5.8,33,0,25,1,0,14,1,57.1%,0,0,4,50.0%,1999,PIT
265,Dameane Douglas,14,8,79,9.9,5.6,13,1,29,1,0,16,1,50.0%,0,0,2,25.0%,1999,PHI
266,Greg Hill,14,13,77,5.9,5.5,82,0,15,0,0,23,4,56.5%,0,0,1,7.7%,1999,DET
267,Jeff Robinson,16,6,76,12.7,4.8,17,2,30,1,0,11,0,54.5%,0,0,4,66.7%,1999,STL
268,Winslow Oliver,14,8,74,9.3,5.3,43,0,14,0,0,14,1,57.1%,0,0,5,62.5%,1999,ATL
269,Rodney Thomas,16,9,72,8.0,4.5,81,0,26,1,0,11,1,81.8%,0,0,4,44.4%,1999,TEN
270,Skip Hicks,10,8,72,9.0,7.2,94,0,25,1,0,10,0,80.0%,0,0,4,50.0%,1999,WSH
271,Derrick Walker,11,7,71,10.1,6.5,34,1,21,0,0,9,0,77.8%,1,1,4,57.1%,1999,OAK
272,Johnny McWilliams,15,11,71,6.5,4.7,29,1,11,0,0,20,1,55.0%,1,0,2,18.2%,1999,ARZ
273,Wane McGarity,5,7,70,10.0,14.0,18,0,18,0,0,19,4,36.8%,0,0,2,28.6%,1999,DAL
274,Joel Makovicka,16,10,70,7.0,4.4,45,1,15,0,0,19,2,52.6%,0,0,4,40.0%,1999,ARZ
275,Fabien Bownes,15,4,68,17.0,4.5,23,1,49,1,0,6,1,66.7%,0,0,2,50.0%,1999,SEA
276,Fred Baxter,14,8,66,8.3,4.7,6,2,24,0,0,17,2,47.1%,0,0,5,62.5%,1999,NYJ
277,Mark Harris,16,6,66,11.0,4.1,21,0,33,1,0,14,1,42.9%,0,0,2,33.3%,1999,SF
278,Kamil Loud,7,6,66,11.0,9.4,21,0,20,0,0,9,0,66.7%,0,0,4,66.7%,1999,BUF
279,Rod Rutledge,16,7,66,9.4,4.1,33,0,13,0,0,12,0,58.3%,1,0,3,42.9%,1999,NE
280,Brett Bech,8,4,65,16.3,8.1,11,1,23,0,0,8,0,50.0%,0,0,4,100.0%,1999,NO
281,Robert Thomas,16,10,64,6.4,4.0,48,0,13,0,0,20,1,50.0%,0,0,1,10.0%,1999,DAL
282,Ryan Collins,4,4,62,15.5,15.5,15,0,28,1,0,10,1,40.0%,0,0,2,50.0%,1999,BAL
283,Josh Wilcox,8,6,61,10.2,7.6,39,0,19,0,0,7,1,85.7%,0,0,3,50.0%,1999,NO
284,Charles Jordan,8,3,60,20.0,7.5,11,0,43,1,0,11,0,27.3%,0,0,2,66.7%,1999,
285,Mac Cody,13,6,60,10.0,4.6,21,1,16,0,0,12,0,50.0%,0,0,4,66.7%,1999,ARZ
286,Charles Way,11,11,59,5.4,5.4,60,0,16,0,0,20,4,55.0%,0,0,2,18.2%,1999,NYG
287,Billy Miller,10,5,59,11.8,5.9,6,0,26,1,0,10,2,50.0%,0,0,3,60.0%,1999,DEN
288,Zack Crockett,13,8,56,7.0,4.3,50,1,12,0,0,12,2,66.7%,0,0,2,25.0%,1999,OAK
289,Howard Cross,16,9,55,6.1,3.4,19,0,12,0,0,18,0,50.0%,0,0,2,22.2%,1999,NYG
290,Mark Chmura,2,5,55,11.0,27.5,13,0,16,0,0,9,0,55.6%,0,0,3,60.0%,1999,GB
291,Hunter Goodwin,15,8,55,6.9,3.7,43,0,14,0,0,10,1,80.0%,1,1,3,37.5%,1999,MIA
292,Troy Davis,16,7,53,7.6,3.3,52,0,20,0,0,15,2,46.7%,0,0,2,28.6%,1999,NO
293,Greg DeLong,16,13,52,4.0,3.3,35,1,9,0,0,21,1,61.9%,0,0,2,15.4%,1999,BAL
