index,name,games,receptions,yards,yds_per_ctch,yds_per_game,yac,td,long_ctch,recs_ovr_25,100yd_gms,targets,drops,ctch_pct,fumbles,fumbles_lost,first_down_ctchs,first_down_ctchpct,season,team
97.0,"Mike Pritchard",14,26,375,14.4,26.8,62,2,51,3,0,48,1,54.2%,0,0,19,73.1%,1999.0,SEA
98.0,"Marcus Pollard",16,34,374,11.0,23.4,148,4,33,3,0,47,5,72.3%,2,2,18,52.9%,1999.0,IND
99.0,"Ben Coates",16,32,370,11.6,23.1,147,2,27,1,0,66,3,48.5%,0,0,20,62.5%,1999.0,NE
100.0,"Willie Jackson",16,31,369,11.9,23.1,103,2,29,1,0,64,0,48.4%,0,0,22,71.0%,1999.0,CIN
101.0,"Terrell Fletcher",15,45,360,8.0,24.0,302,0,25,1,0,65,2,69.2%,0,0,18,40.0%,1999.0,SD
102.0,"Bob Christian",16,40,354,8.9,22.1,303,2,36,1,0,62,4,64.5%,1,1,17,42.5%,1999.0,ATL
103.0,"Ricky Proehl",15,33,349,10.6,23.3,107,0,30,3,0,49,2,67.3%,0,0,24,72.7%,1999.0,STL
104.0,"Greg Clark",12,34,347,10.2,28.9,164,0,24,0,0,55,2,61.8%,1,0,24,70.6%,1999.0,SF
105.0,"Kyle Brady",13,32,346,10.8,26.6,113,1,30,2,0,52,4,61.5%,0,0,15,46.9%,1999.0,JAX
106.0,"Tony McGee",16,26,344,13.2,21.5,83,2,35,2,0,49,3,53.1%,0,0,17,65.4%,1999.0,CIN
107.0,"Curtis Enis",15,45,340,7.6,22.7,389,2,28,1,0,68,9,66.2%,1,1,15,33.3%,1999.0,CHI
108.0,"Chris Sanders",16,20,336,16.8,21.0,60,1,48,4,1,48,0,41.7%,0,0,11,55.0%,1999.0,TEN
110.0,"Joey Galloway",8,22,335,15.2,41.9,55,1,48,4,0,54,3,40.7%,0,0,17,77.3%,1999.0,SEA
111.0,"Andrew Glover",16,28,327,11.7,20.4,75,1,31,2,0,49,2,57.1%,0,0,14,50.0%,1999.0,MIN
112.0,"Ernie Mills",11,30,325,10.8,29.5,111,0,36,2,0,53,5,56.6%,0,0,15,50.0%,1999.0,DAL
