index,rk,name,season,age,draft_pos,team,league,height,weight,bmi,games,games_started,rush_atts,rush_yds,rush_y/a,rush_tds,rush_ypg,targets,receptions,rec_yards,yards/reception,rec_tds,rec_ypg,ctch_pct,y/tgt,fumbles,fumbles_recovered,fum_ret_yds,fum_tds,forced_fumbles,years_in_league,pro_bowls,all_pros,av,position,100yd_gms,yac,first_down_ctchs,first_down_ctchpct,long_ctch,recs_ovr_25,drops,EYds,DPI,DVOA,DYAR,position,"Hand Size in","Arm Length in","40 Yard","Vert Leap in","Broad Jump in",Shuttle,3Cone,"60Yd Shuttle",team_pass_tds,team_pass_yds,team_pass_attempts,team_completions,total_points,rookie_age,rookie_season
1988.0,1989.0,"Kyle Williams",2013.0,25.0,6-206,2TM,NFL,5-10,185.0,26.5,10.0,5.0,2.0,23.0,11.5,0.0,2.3,27.0,12.0,113.0,9.42,0.0,11.3,44.4%,4.19,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,wr,0,56,5,41.7%,16,0,0,,,,,,,,,,,,,,,,,,,22.0,2010.0
3246.0,3247.0,"Lance Lewis",2013.0,25.0,,2TM,NFL,6-3,209.0,26.1,3.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0%,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,wr,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,2013.0
2771.0,2772.0,"Brad Smith",2013.0,30.0,4-103,2TM,NFL,6-2,210.0,27.0,8.0,0.0,2.0,2.0,1.0,0.0,0.3,2.0,2.0,27.0,13.5,0.0,3.4,100.0%,13.5,1.0,1.0,-4.0,0.0,0.0,1.0,0.0,0.0,1.0,wr,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,2006.0
2933.0,2934.0,"Aldrick Robinson",2014.0,26.0,6-178,2TM,NFL,5-10,184.0,26.4,7.0,0.0,0.0,0.0,,0.0,0.0,,1.0,6.0,6.0,0.0,0.9,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,wr,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,2012.0
2976.0,2977.0,"Damian Williams",2014.0,26.0,3-77,2TM,NFL,6-1,190.0,25.1,3.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,14.0,14.0,0.0,4.7,100.0%,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,wr,0,2,1,100.0%,14,0,0,,,,,,,,,,,,,,,,,,,22.0,2010.0
1150.0,1151.0,"Jason Avant",2014.0,31.0,4-109,2TM,NFL,6-0,210.0,28.5,16.0,0.0,1.0,1.0,1.0,0.0,0.1,62.0,34.0,353.0,10.38,1.0,22.1,54.8%,5.69,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,wr,0,156,19,55.9%,41,1,2,354.0,0/0,-16.5%,-18.0,wr,,,,,,,,,,,,,,23.0,2006.0
3441.0,3442.0,"Marcus Thigpen",2014.0,28.0,,2TM,NFL,5-9,193.0,28.5,9.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0%,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,wr,0,0,0,-,0,0,0,,,,,,,,,,,,,,,,,,,28.0,2014.0
3049.0,3050.0,"LaRon Byrd",2014.0,25.0,,2TM,NFL,6-4,220.0,26.8,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0%,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,wr,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,2012.0
3331.0,3332.0,"Solomon Patton",2014.0,24.0,,2TM,NFL,5-9,177.0,26.1,13.0,0.0,1.0,19.0,19.0,0.0,1.5,0.0,0.0,0.0,,0.0,0.0,0.0%,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,wr,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,2014.0
2354.0,2355.0,"Chris Owusu",2014.0,24.0,,2TM,NFL,6-0,195.0,26.4,8.0,0.0,1.0,23.0,23.0,1.0,2.9,6.0,6.0,78.0,13.0,1.0,9.8,100.0%,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,wr,0,3,4,66.7%,36,1,0,,,,,,,,,,,,,,,,,,,22.0,2012.0
1600.0,1601.0,"Kenbrell Thompkins",2014.0,26.0,,2TM,NFL,6-0,196.0,26.6,14.0,7.0,2.0,5.0,2.5,0.0,0.4,48.0,21.0,262.0,12.48,0.0,18.7,43.8%,5.46,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,wr,0,106,13,61.9%,50,2,3,207.0,0/0,-28.4%,-56.0,wr,8.68,32.28,4.54,33.5,121.0,4.21,6.88,11.9,,,,,,25.0,2013.0
1979.0,1980.0,"Austin Pettis",2014.0,26.0,3-78,2TM,NFL,6-2,205.0,26.3,9.0,0.0,0.0,0.0,,0.0,0.0,17.0,12.0,118.0,9.83,1.0,13.1,70.6%,6.94,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,wr,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,2012.0
702.0,703.0,"Percy Harvin",2014.0,26.0,1-22,2TM,NFL,5-11,200.0,27.9,13.0,12.0,33.0,202.0,6.12,1.0,15.5,78.0,51.0,483.0,9.47,1.0,37.2,65.4%,6.19,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,wr,2,269,23,45.1%,45,5,4,426.0,0/0,-21.4%,-55.0,wr,,,4.39,,,,,,,,,,,21.0,2009.0
3152.0,3153.0,"Cobi Hamilton",2014.0,24.0,6-197,2TM,NFL,6-2,212.0,27.2,0.0,1.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,0.0%,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,wr,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,2014.0
3445.0,3446.0,"Deonte Thompson",2014.0,25.0,,2TM,NFL,6-0,200.0,27.1,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0%,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,wr,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,2012.0
3485.0,3486.0,"Chris Williams",2014.0,29.0,1-14,2TM,NFL,6-6,320.0,37.0,10.0,3.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0%,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,wr,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,2014.0
2736.0,2737.0,"Tavarres King",2014.0,24.0,5-161,2TM,NFL,6-0,189.0,25.6,2.0,0.0,0.0,0.0,,0.0,0.0,3.0,2.0,13.0,6.5,0.0,6.5,66.7%,4.33,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,wr,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,2014.0
3377.0,3378.0,"Rashad Ross",2014.0,24.0,,2TM,NFL,6-0,167.0,22.6,4.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0%,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,wr,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,2014.0
3184.0,3185.0,"Trindon Holliday",2014.0,28.0,6-197,2TM,NFL,5-5,162.0,27.0,2.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0%,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,wr,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,2011.0
3013.0,3014.0,"Phil Bates",2014.0,25.0,,2TM,NFL,6-1,220.0,29.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0%,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,wr,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,2012.0
2942.0,2943.0,"Jalen Saunders",2014.0,22.0,4-104,2TM,NFL,5-9,165.0,24.4,15.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,7.0,7.0,0.0,0.5,100.0%,7.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,wr,0,3,0,0.0%,7,0,0,,,,,,,,,,,,,,,,,,,22.0,2014.0
3411.0,3412.0,"Rodney Smith",2014.0,24.0,,2TM,NFL,6-5,225.0,26.7,4.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,wr,0,0,0,-,0,0,0,,,,,,,,,,,,,,,,,,,23.0,2013.0
3225.0,3226.0,"Jacoby Jones",2015.0,31.0,3-73,2TM,NFL,6-3,192.0,24.0,9.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0%,,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,wr,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,2009.0
1619.0,1620.0,"Chris Givens",2015.0,26.0,4-96,2TM,NFL,5-11,198.0,27.6,15.0,6.0,4.0,18.0,4.5,0.0,1.2,54.0,20.0,353.0,17.65,1.0,23.5,37.0%,6.54,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,wr,0,57,13,65.0%,48,5,1,230.0,0/0,-29.8%,-70.0,wr,8.25,31.25,4.35,33.5,118.0,4.23,6.97,,,,,,,23.0,2012.0
1391.0,1392.0,"Leonard Hankerson",2015.0,26.0,3-79,2TM,NFL,6-1,205.0,27.0,10.0,0.0,0.0,0.0,,0.0,0.0,46.0,26.0,327.0,12.58,3.0,32.7,56.5%,7.11,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,wr,1,117,19,73.1%,55,1,6,,,,,,,,,,,,,,,,,,,22.0,2011.0
1920.0,1921.0,"Chris Matthews",2015.0,26.0,,2TM,NFL,6-5,218.0,25.8,13.0,0.0,0.0,0.0,,0.0,0.0,25.0,13.0,151.0,11.62,1.0,11.6,52.0%,6.04,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,wr,0,35,9,69.2%,21,0,1,145.0,0/0,-17.1%,-9.0,wr,,,,,,,,,,,,,,25.0,2014.0
2130.0,2131.0,"Jeremy Ross",2015.0,27.0,,2TM,NFL,5-11,213.0,29.7,11.0,0.0,1.0,2.0,2.0,0.0,0.2,14.0,9.0,88.0,9.78,0.0,8.0,64.3%,6.29,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,wr,0,70,4,44.4%,18,0,1,,,,,,,,,,,,,,,,,,,24.0,2012.0
1076.0,1077.0,"Rob Moore",1999.0,31.0,1-1,ARI,NFL,6-3,203.0,25.4,14.0,10.0,0.0,0.0,,0.0,0.0,96.0,37.0,621.0,16.78,5.0,44.4,38.5%,6.47,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,wr,2,105,26,70.3%,71,7,3,613.0,6/88,-15.0%,-18.0,wr,,,,,,,,,11.0,2803.0,558.0,287.0,245.0,31.0,1999.0
