name,pca_1,pca_2,pca_5,pca_8,pca_13,pca_16,pca_18,pca_19,pca_21,pca_26,targets_2,receptions_2,rec_yards_2,rec_tds_2,rec_ypg_2,100yd_gms_2,first_down_ctchs_2,long_ctch_2,drops_2,DYAR_2,start_ratio_2,pct_team_tgts_2,pct_team_receptions_2,pct_of_team_passyards_2,pct_team_touchdowns_2,dropK_2,yacK_2,td_points_2,compilation_2,avg_starts,categories
Nate Poole,-2.93607088859,-1.04366276452,-1.93467994174,0.566123176525,-0.47049023102,1.03726682672,0.129606084012,-0.0717770763683,-0.467025531394,0.136565448594,11.0,5.0,70.0,0.0,7.8,0.0,2.0,24.0,1.0,-0.12,0.111111111111,0.0206378986867,0.0167224080268,0.0242886884108,0.0,0.69314718056,6.3,0.0,0.130934988323,0.125925925926,below average
Nate Washington,-3.4101679427,2.61252754649,1.96109864393,-0.249274972401,-1.25014060433,-0.168570655572,-0.0835943358211,0.72337255198,-0.249591771377,0.282155757651,55.0,29.0,450.0,5.0,28.1,0.0,21.0,40.0,2.0,1.21,0.25,0.113636363636,0.0932475884244,0.133610451306,0.138888888889,1.09861228867,14.9422222222,0.304903195813,14.2557474066,0.125,league_average
Oronde Gadsden,7.03591777458,-3.05857522676,-0.577876363225,-1.37287676149,0.128899372964,0.557881745666,-0.446704873396,-0.146563116939,-0.755241624789,0.689089242611,93.0,55.0,674.0,3.0,48.1,2.0,34.0,61.0,1.0,0.49,1.0,0.193347193347,0.189655172414,0.206621704476,0.15,0.69314718056,45.4376854599,0.197577270887,26.6026214567,0.8125,below average
Patrick Crayton,-1.76617229858,0.327839911552,-1.71400989968,0.593434834953,0.00461275394077,-1.08094050582,0.111121847153,-0.317308189364,0.0977946936339,-0.0824853711367,48.0,36.0,516.0,4.0,32.3,1.0,28.0,53.0,0.0,1.87,0.4375,0.0897196261682,0.110091743119,0.128871128871,0.148148148148,0.0,78.2965116279,0.260184060427,17.9302624914,0.145833333333,league_average
Patrick Johnson,0.228859785054,-3.72475371904,-1.86623575274,0.504244689168,1.74980920889,-2.88011244864,-6.45104848965,-4.96534893943,1.63037397045,0.586555259329,12.0,5.0,57.0,1.0,14.3,0.0,4.0,25.0,3.0,-0.03,0.0,0.0196078431373,0.0142857142857,0.0159977547011,0.0526315789474,1.38629436112,0.0175438596491,0.0231084527353,0.281966535271,0.45,below average
Patrick Turner,-6.75401008487,0.858588423421,1.91506524444,0.5455694916,-0.942968169066,0.772681123126,-0.649309063562,0.120003932729,-0.138788656804,-0.172108681754,15.0,8.0,96.0,1.0,6.4,0.0,6.0,25.0,1.0,0.12,0.0666666666667,0.0274223034735,0.0258064516129,0.0291173794359,0.0384615384615,0.69314718056,7.04166666667,0.0168869462296,0.602394300107,0.0222222222222,below average
Percy Harvin,8.34105030306,6.32241871024,0.588359174835,0.195658560557,-3.25067192699,2.00465671795,-0.262069562738,0.835442653316,-1.61683587087,-0.720336961197,121.0,87.0,967.0,6.0,60.4,2.0,45.0,52.0,3.0,1.45,0.875,0.237254901961,0.304195804196,0.327020629016,0.3,1.38629436112,331.2885212,1.05374544473,68.8795859347,0.778968253968,quality starter
Peter Warrick,7.00763552874,-1.03789467058,-0.835827140756,-1.18798148821,-0.310997667218,0.410566171417,2.84779789322,-2.7660283305,-0.544146527677,1.00359637609,81.0,53.0,606.0,6.0,40.4,0.0,26.0,37.0,8.0,1.17,0.666666666667,0.137055837563,0.151428571429,0.174338319908,0.352941176471,2.19722457734,110.694719472,0.929775392409,22.5042025852,0.847222222222,quality starter
Pierre Garcon,-0.5657189649,4.28397955909,0.157593400116,-0.567435016026,-1.68515969667,-1.35232571977,0.260869366811,-0.000653037511545,-0.26173261497,-0.998389527107,119.0,67.0,784.0,6.0,56.0,1.0,41.0,57.0,9.0,0.55,1.0,0.168794326241,0.143162393162,0.162386081193,0.176470588235,2.30258509299,92.9846938776,0.464887696203,21.1822366566,0.642857142857,quality starter
Plaxico Burress,4.20996196884,1.70134416534,0.789447751813,-0.112966940578,0.728055272697,1.6895714542,0.0594257037796,0.516500675614,0.477763248501,-0.157555293421,144.0,78.0,1325.0,7.0,82.8,4.0,64.0,62.0,12.0,3.27,0.9375,0.224648985959,0.194513715711,0.298962093863,0.225806451613,2.56494935746,42.7501886792,0.693999016018,62.6024100034,0.895833333333,below average
