,name,season,age,draft_pos,team,weight,bmi,games,rush_atts,rush_yds,rush_y/a,rush_tds,rush_ypg,targets,receptions,rec_yards,yards/reception,rec_tds,rec_ypg,ctch_pct,y/tgt,fumbles,fumbles_recovered,fum_ret_yds,fum_tds,forced_fumbles,pro_bowls,all_pros,position,100yd_gms,yac,first_down_ctchs,first_down_ctchpct,long_ctch,recs_ovr_25,drops,EYds,DVOA,DYAR,position.1,Hand Size in,Arm Length in,40 Yard,Vert Leap in,Broad Jump in,Shuttle,3Cone,60Yd Shuttle,team_pass_tds,team_pass_yds,team_pass_attempts,team_completions,total_points,rookie_age,rookie_season,height_inches,start_ratio,dpis_drawn,dpi_yards,pct_team_tgts,pct_team_receptions,pct_of_team_passyards,pct_team_touchdowns,years_in_league,dropK,yacK,base,td_points,compilation
20,Amani Toomer,2003.0,29.0,2-34,NYG,208.0,26.0,16.0,1.0,5.0,5.0,0.0,0.3,152.0,63.0,1057.0,16.78,5.0,66.1,0.414,6.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wr,3.0,251.0,48.0,0.762,77.0,8.0,5.0,982.0,-0.115,0.13,wr,,,0.0,,,,,,16.0,3383.0,616.0,344.0,243.0,25.0,1999.0,75.0,1.0,1.0,38.0,0.246753246753,0.183139534884,0.31244457582,0.3125,4.0,1.79175946923,59.6035950804,0.307733018031,0.686377144401,35.5779418139
21,Amani Toomer,2004.0,30.0,2-34,NYG,208.0,26.0,15.0,0.0,0.0,0.0,0.0,0.0,107.0,51.0,747.0,14.65,0.0,49.8,0.477,6.98,1.0,0.0,0.0,0.0,0.0,0.0,0.0,wr,2.0,165.0,39.0,0.765,48.0,5.0,6.0,670.0,-0.139,-0.11,wr,,,0.0,,,,,,12.0,2818.0,475.0,269.0,303.0,25.0,1999.0,75.0,0.933333333333,1.0,41.0,0.225263157895,0.189591078067,0.265081618169,0.0,5.0,1.94591014906,36.4457831325,0.289598449219,0.0,28.9598449219
22,Amani Toomer,2005.0,31.0,2-34,NYG,208.0,26.0,16.0,0.0,0.0,0.0,0.0,0.0,109.0,60.0,684.0,11.4,7.0,42.8,0.55,6.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wr,0.0,162.0,37.0,0.617,37.0,6.0,4.0,967.0,0.063,1.68,wr,,,0.0,,,,,,24.0,3669.0,576.0,304.0,422.0,25.0,1999.0,75.0,0.9375,4.0,146.0,0.189236111111,0.197368421053,0.186426819297,0.291666666667,6.0,1.60943791243,38.3684210526,0.259156823205,0.896866135352,32.193745268
23,Amani Toomer,2006.0,32.0,2-34,NYG,208.0,26.0,8.0,1.0,0.0,0.0,0.0,0.0,43.0,32.0,360.0,11.25,3.0,45.0,0.744,8.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wr,1.0,55.0,22.0,0.688,44.0,2.0,0.0,442.0,0.08,0.81,wr,,,0.0,,,,,,26.0,3212.0,550.0,317.0,375.0,25.0,1999.0,75.0,1.0,0.0,0.0,0.0781818181818,0.10094637224,0.112079701121,0.115384615385,7.0,0.0,8.40277777778,0.0702123129935,0.152058936606,8.0856438556
24,Amani Toomer,2007.0,33.0,2-34,NYG,208.0,26.0,16.0,0.0,0.0,0.0,0.0,0.0,104.0,59.0,760.0,12.88,3.0,47.5,0.567,7.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wr,0.0,201.0,42.0,0.712,40.0,3.0,7.0,873.0,0.027,1.29,wr,,,0.0,,,,,,29.0,3961.0,663.0,374.0,458.0,25.0,1999.0,75.0,0.9375,1.0,32.0,0.156862745098,0.157754010695,0.191870739712,0.103448275862,8.0,2.07944154168,53.1592105263,0.196132120508,0.136328701784,20.5675129633
25,Amani Toomer,2008.0,34.0,2-34,NYG,208.0,26.0,16.0,0.0,0.0,0.0,0.0,0.0,88.0,48.0,580.0,12.08,4.0,36.3,0.545,6.59,1.0,0.0,0.0,0.0,0.0,0.0,0.0,wr,0.0,137.0,30.0,0.625,40.0,4.0,6.0,720.0,-0.019,0.79,wr,,,0.0,,,,,,23.0,3346.0,520.0,313.0,438.0,25.0,1999.0,75.0,0.75,4.0,46.0,0.169230769231,0.153354632588,0.173341303048,0.173913043478,9.0,1.94591014906,32.3603448276,0.180875968791,0.305587041681,20.2267061709
26,Andre Caldwell,2008.0,23.0,3-97,CIN,207.0,27.3,7.0,5.0,53.0,10.6,0.0,7.6,19.0,11.0,78.0,7.09,0.0,11.1,0.579,4.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wr,0.0,50.0,4.0,0.364,15.0,0.0,0.0,83.0,-0.301,-0.26,wr,,,4.35,33.0,124.0,4.11,6.75,,11.0,2406.0,513.0,303.0,204.0,23.0,2008.0,73.0,0.571428571429,0.0,0.0,0.037037037037,0.036303630363,0.0324189526185,0.0,0.0,0.0,32.0512820513,0.00397821464241,0.0,0.397821464241
27,Andre Caldwell,2009.0,24.0,3-97,CIN,207.0,27.3,16.0,3.0,22.0,7.33,0.0,1.4,80.0,51.0,432.0,8.47,3.0,27.0,0.638,5.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,wr,0.0,111.0,29.0,0.569,24.0,0.0,4.0,542.0,-0.081,0.28,wr,,,4.35,33.0,124.0,4.11,6.75,,22.0,3000.0,513.0,304.0,319.0,23.0,2008.0,73.0,0.1875,0.0,0.0,0.155945419103,0.167763157895,0.144,0.136363636364,1.0,1.60943791243,28.5208333333,0.122606208947,0.179706015989,13.5185630066
28,Andre Caldwell,2011.0,26.0,3-97,CIN,207.0,27.3,13.0,0.0,0.0,0.0,0.0,0.0,68.0,37.0,317.0,8.57,3.0,24.4,0.544,4.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wr,0.0,110.0,15.0,0.405,49.0,1.0,3.0,381.0,-0.179,-0.27,wr,,,4.35,33.0,124.0,4.11,6.75,,21.0,3564.0,577.0,335.0,354.0,23.0,2008.0,73.0,0.153846153846,1.0,11.0,0.117850953206,0.110447761194,0.0889450056117,0.142857142857,3.0,1.38629436112,38.1703470032,0.0436998135677,0.188263445321,5.68782547402
29,Andre Caldwell,2013.0,28.0,3-97,DEN,207.0,27.3,16.0,1.0,7.0,7.0,0.0,0.4,29.0,16.0,200.0,12.5,3.0,12.5,0.552,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wr,0.0,42.0,11.0,0.688,36.0,2.0,1.0,245.0,0.02,0.35,wr,,,4.35,33.0,124.0,4.11,6.75,,60.0,6353.0,803.0,552.0,664.0,23.0,2008.0,73.0,0.125,1.0,24.0,0.0361145703611,0.0289855072464,0.031481189989,0.05,5.0,0.69314718056,8.82,0.00987569721362,0.0658922058625,1.4488151624
