name,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10,pca11,pca12,pca13,pca14,pca15,pca16,pca17,pca18,pca19,pca20,pca21,pca22,pca23,pca24,pca25,pca26,pca27,pca28,pca29,pca30,pca31,pca32,pca33,pca34,pca35,pca36,pca37,pca38,pca39,pca40,pca41,pca42,pca43,pca44,pca45,pca46,compilation_3,categories
Karl Williams,0.894606621405,-0.603150494077,0.692153953106,-6.17811577752,-1.30000426679,-0.256238547476,0.714920944617,-2.97618737193,-1.24369278812,-1.26947176892,-0.200084599355,2.39896553945,0.745485381995,0.0162790811506,-1.45371197604,-1.51992015577,-0.342473825669,-0.342142386989,0.714140266394,0.909238990428,-0.0104246810005,-0.100755670877,-0.151529205352,-1.46317181626,0.431236538357,-0.177224866174,-0.0575802900245,-1.29153883326,-0.155653210591,0.436624909997,-0.798147840731,-0.917829138421,-0.147506556351,0.358906127631,-0.30146202098,1.10877240629,-0.114344832225,-0.922801227493,0.791622679638,1.19478771083,-0.688031350996,-0.206737118482,-0.619167005351,-0.129098734172,0.457152130453,0.505828947418,0.0,below average
Karsten Bailey,-4.13025849739,1.53461788032,0.297653094269,-1.8737407374,1.53247167353,-0.526148590288,2.40485100097,3.11994504977,-0.317896715604,1.3531300235,-0.860348464557,0.327091425079,0.0823437052022,-0.0720292023337,-1.11598718809,1.3602015223,-0.423353524749,-0.155243625419,-0.533303195542,0.327139580826,0.0413202270123,-0.931376125087,-0.0807811730876,0.347590237073,-0.524535880627,0.231526912858,-0.586694531058,0.694999805581,0.249389432907,0.37445779715,-0.19759535889,-0.130827423083,0.160966321947,0.22417513228,0.319651593475,-0.583471232748,0.0251363214044,0.176033476796,-0.220225794154,0.50362969193,-0.258446567095,-0.266925132525,-0.789414319457,-0.457864751547,-0.461645445047,-0.403564586744,0.0794631248699,below average
Kealoha Pilares,-3.96572486804,2.82287470508,1.28536732293,2.29673436934,0.955772064032,-2.20015739339,-0.79708223317,-0.59248196917,0.0376981623332,1.88797769129,-1.75216158694,1.44686616158,2.24125381829,0.145408718475,-2.04835110481,0.412919375471,-1.81144378347,-1.43920104225,-0.969505993577,0.293959039891,0.107639689927,0.443472142934,0.690265935428,0.684174448718,1.4503702505,-0.01425085247,-0.690901003209,0.0101275917911,-0.536213175246,-1.21804965483,-0.475821128075,1.40909184202,0.121436763579,1.01440920577,-0.644930905348,0.261185234592,2.4072120689,-0.160362986933,-0.500279416042,1.104854777,0.0287382626043,-1.33072097075,0.530838535391,-0.591071505216,0.746444288323,-1.05493040396,0.0,below average
Keary Colbert,6.08913440231,-3.60223790418,4.13141085888,1.97357274018,-0.0194506643715,4.55199410617,2.14288424951,1.22525012684,1.12107876373,2.38318579836,0.32116143289,0.752002776473,0.438855199184,-0.248833300921,0.560349646575,-0.53378024252,-1.50086578907,-0.667603706369,0.0929525155563,-1.34601004707,1.22820077124,1.48141546005,-0.343771445885,1.97053493649,0.745408681513,-0.961743810333,0.719197031512,-0.708460098835,-0.773534662106,0.628595403031,1.07989920255,0.621055398035,0.684100929188,-0.121789375415,-0.769240082893,0.75505984154,-0.449225605994,-0.886924151267,0.818929709403,0.0557598561295,-0.480176376511,0.673170123494,0.0505533739134,-0.891562656291,0.202568122104,-0.209700882873,4.65204336086,below average
Keenan Burton,-1.43726766243,0.72719893723,2.21127341237,1.77410596101,1.67296099513,0.701952617674,0.242348019366,-1.28996438027,-0.576751515177,0.743718852212,-0.499110816805,-0.889625266247,0.914982147366,1.242294876,-1.15674383231,1.03067755193,0.731756125146,0.179424676647,0.137800882163,-0.373253972072,-0.230431509932,-0.649523999873,-0.329468303224,0.198968654886,-0.24417496717,0.402352632072,-0.269141395726,0.996175625738,0.603671260033,0.512009490404,-0.258753187682,-0.144013383054,0.153889436858,-0.121563812625,0.248057584696,0.0112859041312,0.24262629856,-0.0348930315671,-0.601948802749,0.190199648333,-0.648479944745,0.548880156285,-0.254052176015,0.769308486227,-0.0877327788077,-0.38619645073,0.0,below average
Keenan Howry,-4.20374957127,2.18083301775,2.18051987957,-1.92742175176,-0.113960274487,0.89336625284,0.133140766267,1.81585819793,-0.522557908193,-1.34829817958,-0.507222023016,-0.819358469786,0.562111248405,0.206312720926,-1.06249842229,1.25492855715,-0.502668820546,-0.517212914973,-1.4212984226,0.759492462358,0.405662161081,0.161192240908,0.267271662188,-1.5170261809,1.44795478016,0.416284590215,0.22888710851,-0.768171670392,-0.884330987086,0.530120631854,0.213476293285,0.0865986435378,-0.181531168172,-0.12034599605,-0.0435364213451,-0.23342894848,0.698601296556,-0.320105676595,0.303679105954,0.145289053094,0.238264231897,1.36647664134,1.26994592338,0.587889668953,0.186571876913,-0.538609574337,0.0,below average
Keenan McCardell,17.6686648997,-4.19580335392,-1.68108417963,-3.33909697787,2.53926715535,-3.42510397799,-4.50671563405,0.870837922297,-1.34821306398,-4.38467504268,-1.12053286293,2.55237022396,0.744371969761,-0.119609712448,-0.235308156429,2.13074964108,4.31207404567,2.41337295326,0.238683201266,1.14798569465,1.50258447679,1.99841380487,0.324744808024,-1.56630029768,-0.741590270075,0.262606129029,0.102966319458,-0.0754540177369,0.214743610968,-0.295151751327,-0.710148451481,-1.17076417501,-2.1892643924,0.463678418582,-0.111451445377,1.22938109666,0.361559175715,0.461461041542,1.91735250017,0.488188958683,-0.82670561385,-0.350755678184,0.160537039529,-2.1139402974,-0.338474578399,0.617844490884,17.5424641846,league_average
Keith Poole,4.53492190763,-5.75603907915,4.39664605351,-1.33259012236,-0.94154035056,3.92982356886,1.59709155572,0.122565538379,0.985643136576,-0.533725587806,-0.352247758358,1.2714918959,0.608782651055,-0.666630476184,-1.00897050011,0.615849575664,0.214247530663,-1.89171596763,0.157151693552,0.457935296811,-0.0147634543972,-0.0994189798361,0.577132548395,0.842069034111,-0.836268704952,-0.00298202385503,-0.171521852385,1.50587762885,0.430529460596,-0.473196928535,0.533977538838,0.0662644870521,-1.23027033403,0.394525688881,-1.3955241366,-0.505512234136,-0.85274043891,-1.17825826033,-1.10439043333,-0.283602343486,0.648983385545,1.97983232918,-0.362584937127,-0.208331436561,-1.33498654883,0.183802541931,0.0,below average
Kelley Washington,-1.46339021471,-1.8593325205,-1.35509442521,0.53324881614,-1.55939502793,2.06039067737,1.18374983786,0.0913104283286,0.675089174481,-1.56842663269,0.305330832543,0.797065808,-0.317875624046,-0.392689896193,0.93266748819,-0.421426805114,1.38282683792,-0.194784593376,0.10496865314,-0.953655240969,-0.386998793937,0.163204940389,-0.007487401439,-0.138708442771,-0.253462539945,-0.384279184166,0.0276366427939,-0.575327510225,-0.36319681518,-0.271920802878,0.18363597163,0.416517359802,-0.10246430012,0.490238441153,-0.920219024218,0.581907905621,-0.00904206213748,-0.531515905988,-0.765926769176,-0.620072210281,0.3299151389,1.43275086941,0.622711471734,0.253068334724,-0.225667210679,-0.0450933027955,1.06587162168,below average
Kelly Campbell,5.78708372735,4.05903826493,3.5922705846,-2.2985553079,-0.342513765865,0.620590269147,3.10586575541,-0.629423836828,-0.396194277787,0.433260518322,1.01796520124,0.614983824532,0.807274002602,-1.10953088803,-0.08394018145,-0.463639167398,-0.330504450106,-1.65628544929,-0.0616957289065,-1.5707768801,-1.45158092894,-1.98154558379,0.274766856096,-1.39034894551,-0.24789962268,0.653514711754,-1.43394570261,1.47101106513,1.03240714661,-0.32534823482,-0.774617410323,-0.442777566464,-0.556576385256,0.452539118537,-0.934190257711,-0.643089505862,0.778768914253,0.269118253066,-0.845224891526,0.796884069405,0.458086061657,-0.0303693707907,-0.0574866498333,-1.00431872269,-0.256544599754,0.51730311019,0.0,below average
Kelvin Kight,-4.83134285979,2.33169301192,-1.12187815219,-0.305759253075,-0.77590291957,-0.579290915991,0.1988213926,2.1312983886,1.47863762171,0.894821151283,-1.02596431184,0.618045097699,-0.920285070913,-0.339287211196,1.06554504334,0.71665866763,-0.347597864884,-0.778635520981,-0.832805974018,-0.894935031091,0.644383745834,0.506787319674,-0.0445362981634,-0.309700774466,0.0094142622118,0.207943558518,-0.90516170579,0.375032105063,-0.113856514008,0.233781254074,-0.888903687578,0.36427386782,-0.497011360261,-0.92024696996,0.635556824683,-0.660399066334,-0.0998090069386,-0.434527759115,0.165654862006,0.0067624931227,-0.212563628326,-0.159508746828,0.0464716815361,-0.0312371645211,-0.589082851705,0.0634535455685,0.0,below average
Ken-Yon Rambo,-2.38329289226,1.03717920611,2.19406684967,-1.57276222149,2.21814740738,-0.733905688516,2.19076677253,1.12323582369,-0.470779210089,-1.68389626186,0.00158837778662,-0.188923439888,0.399039900364,0.123236605228,-1.57348144187,-0.0171005158691,-0.915154578224,-0.0160837804686,0.156235732869,1.65665145574,0.541842960875,0.197789208544,0.133083386689,0.0361257877437,-0.334561098546,-0.692474682115,0.296609341511,0.610398434925,0.374832942211,0.434637770925,-0.200884913458,-0.806409757793,-1.594957776,-0.58804583982,-0.585045238672,0.425405277795,-0.677582475752,0.215541452941,-0.0740970796396,0.665702866017,0.131814980686,0.751786737312,0.524520525833,0.553341372137,-0.289026934075,-0.00237238036746,0.0,below average
Kendall Newson,-4.40838520191,-0.145344504327,0.616955283393,-0.284506666719,-0.437792989356,1.43258697393,0.713757998795,1.1139437152,-0.0587927980698,-2.40246672696,0.390033669205,-2.50416750946,0.0170050431024,-0.0868490340161,0.780510355166,-0.250269310451,-0.0628775518619,0.290151200792,-0.198386678187,-0.0935140422917,-0.152528175411,0.457543959988,-0.0133141400339,0.124785551425,0.300972860495,-0.0149332875029,0.000579599560397,0.21452493437,-0.0557418704832,0.275705649379,0.168987960545,-0.0836927726825,0.00159638379366,-0.276886421711,-0.263685590765,0.619788958376,0.0837693099591,0.277555076626,-0.337717320569,-0.806844498293,0.311437070557,-1.08861220148,0.0227693223202,0.200445271131,-0.00958934934533,0.235131818594,0.0,below average
Kendall Wright,12.8222430007,3.18495127952,2.24581927492,3.27399365808,0.296618645618,-1.13130622198,-1.47640624964,-2.38693731211,2.14794100071,0.836906267653,-3.30284277498,-0.172230006367,0.0102622618521,2.38115287381,1.53932571693,1.85529020033,3.62169322032,0.299610238762,0.524401536362,0.0536757836718,-0.117432423805,-0.189940375795,-1.06226203655,-1.24343401239,-0.737613743526,0.362590190149,-0.0988936460732,0.793539110624,-0.132294882391,0.359903496295,-0.168929462966,-0.483009732394,-2.75665798193,-1.22179944842,1.26129208786,0.196345631165,-1.56572743637,-1.49409726277,0.740579106237,0.837828166905,-1.66348888823,0.71359137223,0.445972639265,0.547109643926,-0.387490548538,-0.894498671671,9.14796334812,below average
Kendrick Mosley,-5.82189196209,0.541951448578,-0.885913413139,-0.336833567079,0.639394960148,-0.433558529481,-1.90061635175,0.867264038926,0.527472958148,1.05338676756,0.837153054051,0.354559822913,-0.799591884294,-0.16716081714,-0.00696822236103,0.18776907976,0.295272766709,0.17811076606,-0.0755642515075,0.376849599843,0.261871404018,-0.0927261555891,-0.304125655174,-0.156621996466,-0.0548087276944,0.136858716374,-0.21587011651,-0.00914393393424,0.193921966344,0.272214992171,-0.204900508614,0.294925712696,-0.108993150313,0.166976384591,0.149498513208,-0.463565022448,-0.0229092356045,0.210864413412,-0.0803885285127,0.257960035175,0.280805613574,-0.0406026095515,0.0305403831397,-0.40966452114,-0.342708875535,0.0264153250568,0.0,below average
Kendrick Starling,-5.62760827033,0.443270417058,-0.0708787361385,-1.7843571719,0.175791059209,-0.456129309508,-1.72190644091,1.05554818349,0.310431173841,1.0294281496,0.278625854517,-0.0244369378101,-0.288642842174,-0.194681918407,0.142625643719,0.502632658171,0.35026845232,0.173591144135,-0.174308859129,0.162141239412,0.169818465632,-0.0970801686923,-0.15132678826,-0.322072313322,-0.000724945179114,0.0795203109175,-0.213857095083,-0.0660178315426,-0.0061591459976,0.243123678073,-0.280669574589,0.218202943251,-0.0929479859601,0.061365825211,0.156528856754,-0.221160366978,0.0984894357778,0.0965691036661,0.0376072590217,0.178675250375,0.292598731386,0.357352958116,0.26819597511,0.0638198085515,-0.245505161201,-0.48145644974,0.0,below average
