,name,season,age,draft_pos,team,weight,bmi,games,rush_atts,rush_yds,rush_y/a,rush_tds,rush_ypg,targets,receptions,rec_yards,yards/reception,rec_tds,rec_ypg,ctch_pct,y/tgt,fumbles,fumbles_recovered,fum_ret_yds,fum_tds,forced_fumbles,pro_bowls,all_pros,position,100yd_gms,yac,first_down_ctchs,first_down_ctchpct,long_ctch,recs_ovr_25,drops,EYds,DVOA,DYAR,position.1,Hand Size in,Arm Length in,40 Yard,Vert Leap in,Broad Jump in,Shuttle,3Cone,60Yd Shuttle,team_pass_tds,team_pass_yds,team_pass_attempts,team_completions,total_points,rookie_age,rookie_season,height_inches,start_ratio,dpis_drawn,dpi_yards,pct_team_tgts,pct_team_receptions,pct_of_team_passyards,pct_team_touchdowns,years_in_league
1700,Donald Driver,2004.0,29.0,7-213,GB,188.0,25.5,16.0,3.0,4.0,1.33,0.0,0.3,137.0,84.0,1208.0,14.38,9.0,75.5,0.613,8.82,2.0,1.0,0.0,0.0,0.0,0.0,0.0,wr,4.0,257.0,59.0,0.702,50.0,11.0,11.0,1.80181291875,0.12,2.69,wr,,,0,,,,,,37.0,4650.0,631.0,404.0,441.0,24.0,1999.0,72.0,0.6875,4.0,70.0,0.217115689382,0.207920792079,0.259784946237,0.243243243243,5.0
1701,Donald Driver,2005.0,30.0,7-213,GB,188.0,25.5,16.0,2.0,13.0,6.5,0.0,0.8,146.0,86.0,1221.0,14.2,5.0,76.3,0.589,8.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wr,5.0,342.0,63.0,0.733,59.0,9.0,5.0,1.84696128812,0.171,3.55,wr,,,0,,,,,,20.0,3766.0,626.0,383.0,298.0,24.0,1999.0,72.0,1.0,6.0,175.0,0.233226837061,0.22454308094,0.324216675518,0.25,6.0
1702,Donald Driver,2006.0,31.0,7-213,GB,188.0,25.5,16.0,7.0,16.0,2.29,0.0,1.0,173.0,92.0,1295.0,14.08,8.0,80.9,0.532,7.49,1.0,1.0,0.0,0.0,0.0,1.0,0.0,wr,3.0,514.0,53.0,0.576,82.0,11.0,8.0,1.94571033082,-0.044,1.12,wr,,,0,,,,,,18.0,3795.0,630.0,350.0,301.0,24.0,1999.0,72.0,1.0,0.0,0.0,0.274603174603,0.262857142857,0.341238471673,0.444444444444,7.0
1703,Donald Driver,2007.0,32.0,7-213,GB,188.0,25.5,15.0,2.0,4.0,2.0,0.0,0.3,122.0,82.0,1048.0,12.78,2.0,69.9,0.672,8.59,1.0,0.0,0.0,0.0,0.0,1.0,0.0,wr,2.0,438.0,49.0,0.598,47.0,9.0,3.0,1.46309337224,0.093,2.15,wr,,,0,,,,,,35.0,4743.0,636.0,420.0,497.0,24.0,1999.0,72.0,0.933333333333,1.0,8.0,0.191823899371,0.195238095238,0.220957200084,0.0571428571429,8.0
1704,Donald Driver,2008.0,33.0,7-213,GB,188.0,25.5,16.0,2.0,4.0,2.0,0.0,0.3,116.0,74.0,1012.0,13.68,5.0,63.3,0.638,8.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wr,2.0,365.0,44.0,0.595,71.0,8.0,6.0,1.38613115418,0.085,1.93,wr,,,0,,,,,,28.0,3813.0,541.0,343.0,419.0,24.0,1999.0,72.0,1.0,1.0,7.0,0.214417744917,0.215743440233,0.265407815368,0.178571428571,9.0
1705,Greg Jennings,2008.0,25.0,2-52,GB,195.0,27.2,16.0,0.0,0.0,0.0,0.0,0.0,140.0,80.0,1292.0,16.15,9.0,80.8,0.571,9.23,1.0,2.0,3.0,0.0,0.0,0.0,0.0,wr,5.0,383.0,55.0,0.688,63.0,13.0,8.0,1.95816893383,0.101,2.49,wr,,,4.42,36.5,117.0,4.18,6.69,,28.0,3813.0,541.0,343.0,419.0,23.0,2006.0,71.0,0.9375,1.0,25.0,0.258780036969,0.233236151603,0.338840807763,0.321428571429,2.0
1706,Greg Jennings,2009.0,26.0,2-52,GB,195.0,27.2,16.0,0.0,0.0,0.0,0.0,0.0,119.0,68.0,1113.0,16.37,4.0,69.6,0.571,9.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wr,5.0,483.0,48.0,0.706,83.0,12.0,5.0,1.60076124887,0.111,2.29,wr,,,4.42,36.5,117.0,4.18,6.69,,34.0,4584.0,595.0,385.0,506.0,23.0,2006.0,71.0,0.8125,3.0,71.0,0.2,0.176623376623,0.24280104712,0.117647058824,3.0
1707,Donald Driver,2009.0,34.0,7-213,GB,188.0,25.5,16.0,1.0,13.0,13.0,0.0,0.8,113.0,70.0,1061.0,15.16,6.0,66.3,0.619,9.39,2.0,0.0,0.0,0.0,0.0,0.0,0.0,wr,2.0,391.0,49.0,0.7,71.0,11.0,7.0,1.50167436613,0.133,2.45,wr,,,0,,,,,,34.0,4584.0,595.0,385.0,506.0,24.0,1999.0,72.0,1.0,8.0,77.0,0.189915966387,0.181818181818,0.231457242583,0.176470588235,10.0
1708,Jordy Nelson,2011.0,26.0,2-36,GB,215.0,26.9,16.0,0.0,0.0,0.0,0.0,0.0,96.0,68.0,1263.0,18.57,15.0,78.9,0.708,13.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wr,5.0,438.0,47.0,0.691,93.0,16.0,2.0,1.92022749962,0.525,5.17,wr,,,4.51,31.0,123.0,4.35,7.03,11.53,53.0,5165.0,598.0,402.0,580.0,23.0,2008.0,75.0,0.5625,2.0,40.0,0.160535117057,0.169154228856,0.244530493708,0.283018867925,3.0
1709,Greg Jennings,2011.0,28.0,2-52,GB,195.0,27.2,13.0,0.0,0.0,0.0,0.0,0.0,101.0,67.0,949.0,14.16,9.0,73.0,0.663,9.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,wr,3.0,323.0,43.0,0.642,79.0,8.0,3.0,1.27864240356,0.205,2.75,wr,,,4.42,36.5,117.0,4.18,6.69,,53.0,5165.0,598.0,402.0,580.0,23.0,2006.0,71.0,1.0,5.0,86.0,0.16889632107,0.166666666667,0.183736689255,0.169811320755,5.0
